"","X","week","metric","display_title","rolling_avg","city","region","color"
"1",1981,2020-04-06,"downtown","Calgary, AB",0.43,"Calgary","Canada","#ab1368"
"2",1983,2020-04-06,"downtown","Edmonton, AB",0.513181818181818,"Edmonton","Canada","#ab1368"
"3",1988,2020-04-06,"downtown","Halifax, NS",0.463636363636364,"Halifax","Canada","#ab1368"
"4",1989,2020-04-06,"downtown","London, ON",0.36,"London","Canada","#ab1368"
"5",2038,2020-04-06,"downtown","Montreal, QC",0.352272727272727,"Montreal","Canada","#ab1368"
"6",1982,2020-04-06,"downtown","Ottawa, ON",0.459090909090909,"Ottawa","Canada","#ab1368"
"7",1987,2020-04-06,"downtown","Quebec, QC",0.381363636363636,"Quebec","Canada","#ab1368"
"8",2037,2020-04-06,"downtown","Toronto, ON",0.370909090909091,"Toronto","Canada","#ab1368"
"9",1986,2020-04-06,"downtown","Vancouver, BC",0.385454545454545,"Vancouver","Canada","#ab1368"
"10",1985,2020-04-06,"downtown","Winnipeg, MB",0.584090909090909,"Winnipeg","Canada","#ab1368"
"11",2001,2020-04-06,"downtown","Chicago, IL",0.293636363636364,"Chicago","Midwest","#007fa3"
"12",2032,2020-04-06,"downtown","Cincinnati, OH",0.386363636363636,"Cincinnati","Midwest","#007fa3"
"13",2014,2020-04-06,"downtown","Cleveland, OH",0.444545454545455,"Cleveland","Midwest","#007fa3"
"14",2020,2020-04-06,"downtown","Columbus, OH",0.383181818181818,"Columbus","Midwest","#007fa3"
"15",1992,2020-04-06,"downtown","Detroit, MI",0.281363636363636,"Detroit","Midwest","#007fa3"
"16",2021,2020-04-06,"downtown","Indianapolis, IN",0.375454545454545,"Indianapolis","Midwest","#007fa3"
"17",2041,2020-04-06,"downtown","Kansas City, MO",1.00818181818182,"Kansas City","Midwest","#007fa3"
"18",1994,2020-04-06,"downtown","Louisville, KY",0.649545454545455,"Louisville","Midwest","#007fa3"
"19",1996,2020-04-06,"downtown","Milwaukee, WI",0.544545454545455,"Milwaukee","Midwest","#007fa3"
"20",2008,2020-04-06,"downtown","Minneapolis, MN",0.401363636363636,"Minneapolis","Midwest","#007fa3"
"21",2043,2020-04-06,"downtown","Omaha, NE",0.61,"Omaha","Midwest","#007fa3"
"22",2035,2020-04-06,"downtown","St. Louis, MO",0.314545454545455,"St Louis","Midwest","#007fa3"
"23",2011,2020-04-06,"downtown","Wichita, KS",0.590909090909091,"Wichita","Midwest","#007fa3"
"24",1995,2020-04-06,"downtown","Baltimore, MD",0.545,"Baltimore","Northeast","#8dbf2e"
"25",2030,2020-04-06,"downtown","Boston, MA",0.300909090909091,"Boston","Northeast","#8dbf2e"
"26",1999,2020-04-06,"downtown","New York, NY",0.311818181818182,"New York","Northeast","#8dbf2e"
"27",2004,2020-04-06,"downtown","Philadelphia, PA",0.389090909090909,"Philadelphia","Northeast","#8dbf2e"
"28",2033,2020-04-06,"downtown","Pittsburgh, PA",0.402727272727273,"Pittsburgh","Northeast","#8dbf2e"
"29",2026,2020-04-06,"downtown","Washington DC",0.660909090909091,"Washington DC","Northeast","#8dbf2e"
"30",2010,2020-04-06,"downtown","Bakersfield, CA",0.870909090909091,"Bakersfield","Pacific","#6d247a"
"31",2039,2020-04-06,"downtown","Fresno, CA",0.835454545454545,"Fresno","Pacific","#6d247a"
"32",2031,2020-04-06,"downtown","Honolulu, HI",0.899545454545455,"Honolulu","Pacific","#6d247a"
"33",2000,2020-04-06,"downtown","Los Angeles, CA",0.508636363636364,"Los Angeles","Pacific","#6d247a"
"34",2007,2020-04-06,"downtown","Oakland, CA",0.616818181818182,"Oakland","Pacific","#6d247a"
"35",1990,2020-04-06,"downtown","Portland, OR",0.598181818181818,"Portland","Pacific","#6d247a"
"36",2040,2020-04-06,"downtown","Sacramento, CA",0.531818181818182,"Sacramento","Pacific","#6d247a"
"37",2006,2020-04-06,"downtown","San Diego, CA",0.428636363636364,"San Diego","Pacific","#6d247a"
"38",2023,2020-04-06,"downtown","San Francisco, CA",0.283181818181818,"San Francisco","Pacific","#6d247a"
"39",2016,2020-04-06,"downtown","San Jose, CA",0.439090909090909,"San Jose","Pacific","#6d247a"
"40",2024,2020-04-06,"downtown","Seattle, WA",0.428181818181818,"Seattle","Pacific","#6d247a"
"41",2042,2020-04-06,"downtown","Atlanta, GA",0.336363636363636,"Atlanta","Southeast","#dc4633"
"42",2022,2020-04-06,"downtown","Charlotte, NC",0.460909090909091,"Charlotte","Southeast","#dc4633"
