"","week","metric","display_title","rolling_avg","city","region"
"1",2020-05-11,"downtown","Calgary, AB",0.43,"Calgary","Canada"
"2",2020-05-11,"city","Calgary, AB",0.76,"Calgary","Canada"
"3",2020-05-11,"relative","Calgary, AB",0.535,"Calgary","Canada"
"4",2020-05-11,"downtown","Edmonton, AB",0.513181818181818,"Edmonton","Canada"
"5",2020-05-11,"city","Edmonton, AB",0.720909090909091,"Edmonton","Canada"
"6",2020-05-11,"relative","Edmonton, AB",0.702272727272727,"Edmonton","Canada"
"7",2020-05-11,"downtown","Halifax, NS",0.463636363636364,"Halifax","Canada"
"8",2020-05-11,"city","Halifax, NS",0.796363636363636,"Halifax","Canada"
"9",2020-05-11,"relative","Halifax, NS",0.560909090909091,"Halifax","Canada"
"10",2020-05-11,"downtown","London, ON",0.36,"London","Canada"
"11",2020-05-11,"city","London, ON",0.66,"London","Canada"
"12",2020-05-11,"relative","London, ON",0.54,"London","Canada"
"13",2020-05-11,"downtown","Mississauga, ON",0.767727272727273,"Mississauga","Canada"
"14",2020-05-11,"city","Mississauga, ON",0.983181818181818,"Mississauga","Canada"
"15",2020-05-11,"relative","Mississauga, ON",0.772727272727273,"Mississauga","Canada"
"16",2020-05-11,"downtown","Montreal, QC",0.352272727272727,"Montreal","Canada"
"17",2020-05-11,"city","Montreal, QC",0.640454545454545,"Montreal","Canada"
"18",2020-05-11,"relative","Montreal, QC",0.509090909090909,"Montreal","Canada"
"19",2020-05-11,"downtown","Ottawa, ON",0.459090909090909,"Ottawa","Canada"
"20",2020-05-11,"city","Ottawa, ON",0.785,"Ottawa","Canada"
"21",2020-05-11,"relative","Ottawa, ON",0.546363636363636,"Ottawa","Canada"
"22",2020-05-11,"downtown","Quebec, QC",0.381363636363636,"Quebec","Canada"
"23",2020-05-11,"city","Quebec, QC",0.618636363636364,"Quebec","Canada"
"24",2020-05-11,"relative","Quebec, QC",0.593181818181818,"Quebec","Canada"
"25",2020-05-11,"downtown","Toronto, ON",0.370909090909091,"Toronto","Canada"
"26",2020-05-11,"city","Toronto, ON",0.679545454545455,"Toronto","Canada"
"27",2020-05-11,"relative","Toronto, ON",0.522272727272727,"Toronto","Canada"
"28",2020-05-11,"downtown","Vancouver, BC",0.385454545454545,"Vancouver","Canada"
"29",2020-05-11,"city","Vancouver, BC",0.557727272727273,"Vancouver","Canada"
"30",2020-05-11,"relative","Vancouver, BC",0.669090909090909,"Vancouver","Canada"
"31",2020-05-11,"downtown","Winnipeg, MB",0.584090909090909,"Winnipeg","Canada"
"32",2020-05-11,"city","Winnipeg, MB",0.817272727272727,"Winnipeg","Canada"
"33",2020-05-11,"relative","Winnipeg, MB",0.704090909090909,"Winnipeg","Canada"
"34",2020-05-11,"downtown","Chicago, IL",0.293636363636364,"Chicago","Midwest"
"35",2020-05-11,"city","Chicago, IL",0.688636363636364,"Chicago","Midwest"
"36",2020-05-11,"relative","Chicago, IL",0.384090909090909,"Chicago","Midwest"
"37",2020-05-11,"downtown","Cincinnati, OH",0.386363636363636,"Cincinnati","Midwest"
"38",2020-05-11,"city","Cincinnati, OH",0.732727272727273,"Cincinnati","Midwest"
"39",2020-05-11,"relative","Cincinnati, OH",0.498636363636364,"Cincinnati","Midwest"
"40",2020-05-11,"downtown","Cleveland, OH",0.444545454545455,"Cleveland","Midwest"
"41",2020-05-11,"city","Cleveland, OH",0.712272727272727,"Cleveland","Midwest"
"42",2020-05-11,"relative","Cleveland, OH",0.584545454545455,"Cleveland","Midwest"
"43",2020-05-11,"downtown","Columbus, OH",0.383181818181818,"Columbus","Midwest"
"44",2020-05-11,"city","Columbus, OH",0.722727272727273,"Columbus","Midwest"
"45",2020-05-11,"relative","Columbus, OH",0.516363636363636,"Columbus","Midwest"
"46",2020-05-11,"downtown","Detroit, MI",0.281363636363636,"Detroit","Midwest"
"47",2020-05-11,"city","Detroit, MI",0.712272727272727,"Detroit","Midwest"
"48",2020-05-11,"relative","Detroit, MI",0.357272727272727,"Detroit","Midwest"
"49",2020-05-11,"downtown","Indianapolis, IN",0.375454545454545,"Indianapolis","Midwest"
"50",2020-05-11,"city","Indianapolis, IN",0.734545454545455,"Indianapolis","Midwest"
"51",2020-05-11,"relative","Indianapolis, IN",0.483181818181818,"Indianapolis","Midwest"
