"","display_title","seasonal_average","region","metric","city","Season","lq_rank","color"
"1","Calgary, AB",0.48,"Canada","downtown","Calgary","Season_3",38,"#ab1368"
"2","Calgary, AB",0.467124212832892,"Canada","downtown","Calgary","Season_10",46,"#ab1368"
"3","Calgary, AB",0.46258629388737,"Canada","downtown","Calgary","Season_9",51,"#ab1368"
"4","Calgary, AB",0.46,"Canada","downtown","Calgary","Season_1",33,"#ab1368"
"5","Calgary, AB",0.456,"Canada","downtown","Calgary","Season_6",47,"#ab1368"
"6","Calgary, AB",0.444,"Canada","downtown","Calgary","Season_7",52,"#ab1368"
"7","Calgary, AB",0.434450264248565,"Canada","downtown","Calgary","Season_11",57,"#ab1368"
"8","Calgary, AB",0.422594637342645,"Canada","downtown","Calgary","Season_8",55,"#ab1368"
"9","Calgary, AB",0.39125,"Canada","downtown","Calgary","Season_5",47,"#ab1368"
"10","Calgary, AB",0.383333333333333,"Canada","downtown","Calgary","Season_2",40,"#ab1368"
"11","Calgary, AB",0.37,"Canada","downtown","Calgary","Season_4",48,"#ab1368"
"12","Edmonton, AB",0.532777777777778,"Canada","downtown","Edmonton","Season_1",22,"#ab1368"
"13","Edmonton, AB",0.521293617933357,"Canada","downtown","Edmonton","Season_11",42,"#ab1368"
"14","Edmonton, AB",0.513920451196087,"Canada","downtown","Edmonton","Season_9",41,"#ab1368"
"15","Edmonton, AB",0.477222222222222,"Canada","downtown","Edmonton","Season_3",41,"#ab1368"
"16","Edmonton, AB",0.4675,"Canada","downtown","Edmonton","Season_7",49,"#ab1368"
"17","Edmonton, AB",0.455555555555556,"Canada","downtown","Edmonton","Season_2",32,"#ab1368"
"18","Edmonton, AB",0.446442046121117,"Canada","downtown","Edmonton","Season_8",49,"#ab1368"
"19","Edmonton, AB",0.438712454157753,"Canada","downtown","Edmonton","Season_10",51,"#ab1368"
"20","Edmonton, AB",0.417777777777778,"Canada","downtown","Edmonton","Season_6",52,"#ab1368"
"21","Edmonton, AB",0.4,"Canada","downtown","Edmonton","Season_4",46,"#ab1368"
