,city,week,metric,normalized_visits_by_total_visits
0,Albuquerque,2020-02-24,downtown,1.18
1,Albuquerque,2020-02-24,metro,1.11
2,Albuquerque,2020-02-24,relative,1.06
3,Albuquerque,2020-03-02,downtown,0.93
4,Albuquerque,2020-03-02,metro,1.07
5,Albuquerque,2020-03-02,relative,0.87
6,Albuquerque,2020-03-09,downtown,0.9
7,Albuquerque,2020-03-09,metro,1.08
8,Albuquerque,2020-03-09,relative,0.83
9,Albuquerque,2020-03-16,downtown,0.76
10,Albuquerque,2020-03-16,metro,0.93
11,Albuquerque,2020-03-16,relative,0.82
12,Albuquerque,2020-03-23,downtown,0.64
13,Albuquerque,2020-03-23,metro,0.81
14,Albuquerque,2020-03-23,relative,0.7849999999999999
15,Albuquerque,2020-03-30,downtown,0.52
16,Albuquerque,2020-03-30,metro,0.69
17,Albuquerque,2020-03-30,relative,0.75
18,Albuquerque,2020-04-06,downtown,0.59
19,Albuquerque,2020-04-06,metro,0.74
20,Albuquerque,2020-04-06,relative,0.8
21,Albuquerque,2020-04-13,downtown,0.6
22,Albuquerque,2020-04-13,metro,0.79
23,Albuquerque,2020-04-13,relative,0.76
24,Albuquerque,2020-04-20,downtown,0.63
25,Albuquerque,2020-04-20,metro,0.79
26,Albuquerque,2020-04-20,relative,0.79
27,Albuquerque,2020-04-27,downtown,0.56
28,Albuquerque,2020-04-27,metro,0.65
29,Albuquerque,2020-04-27,relative,0.86
30,Albuquerque,2020-05-04,downtown,0.59
31,Albuquerque,2020-05-04,metro,0.74
32,Albuquerque,2020-05-04,relative,0.8
33,Albuquerque,2020-05-11,downtown,0.64
34,Albuquerque,2020-05-11,metro,0.81
35,Albuquerque,2020-05-11,relative,0.79
36,Albuquerque,2020-05-18,downtown,0.57
37,Albuquerque,2020-05-18,metro,0.84
38,Albuquerque,2020-05-18,relative,0.68
39,Albuquerque,2020-05-25,downtown,0.62
40,Albuquerque,2020-05-25,metro,0.89
41,Albuquerque,2020-05-25,relative,0.7
42,Albuquerque,2020-06-01,downtown,0.68
43,Albuquerque,2020-06-01,metro,0.94
44,Albuquerque,2020-06-01,relative,0.72
45,Albuquerque,2020-06-08,downtown,0.63
46,Albuquerque,2020-06-08,relative,0.65
47,Albuquerque,2020-06-08,metro,0.96
48,Albuquerque,2020-06-15,downtown,0.64
49,Albuquerque,2020-06-15,relative,0.69
50,Albuquerque,2020-06-15,metro,0.92
51,Albuquerque,2020-06-22,downtown,0.59
52,Albuquerque,2020-06-22,relative,0.66
53,Albuquerque,2020-06-22,metro,0.89
54,Albuquerque,2020-06-29,downtown,0.57
55,Albuquerque,2020-06-29,relative,0.64
56,Albuquerque,2020-06-29,metro,0.88
57,Albuquerque,2020-07-06,downtown,0.7
58,Albuquerque,2020-07-06,relative,0.67
59,Albuquerque,2020-07-06,metro,1.05
60,Albuquerque,2020-07-13,downtown,0.62
61,Albuquerque,2020-07-13,relative,0.66
62,Albuquerque,2020-07-13,metro,0.93
63,Albuquerque,2020-07-20,downtown,0.6
64,Albuquerque,2020-07-20,relative,0.64
65,Albuquerque,2020-07-20,metro,0.94
66,Albuquerque,2020-07-27,downtown,0.57
67,Albuquerque,2020-07-27,relative,0.58
68,Albuquerque,2020-07-27,metro,0.99
69,Albuquerque,2020-08-03,downtown,0.63
70,Albuquerque,2020-08-03,relative,0.68
71,Albuquerque,2020-08-03,metro,0.94
72,Albuquerque,2020-08-10,downtown,0.67
73,Albuquerque,2020-08-10,relative,0.7
74,Albuquerque,2020-08-10,metro,0.96
75,Albuquerque,2020-08-17,downtown,0.64
76,Albuquerque,2020-08-17,relative,0.71
77,Albuquerque,2020-08-17,metro,0.9
