,city,cluster
0,Albuquerque,0
1,Tampa,0
2,San Diego,0
3,Baltimore,0
4,Omaha,0
5,Wichita,0
6,Las Vegas,0
7,Colorado Springs,0
8,El Paso,0
9,Sacramento,1
10,Jacksonville,1
11,Houston,1
12,Portland,2
13,Oakland,2
14,Louisville,2
15,Kansas City,2
16,Winnipeg,2
17,Edmonton,2
18,Charlotte,2
19,Cleveland,2
20,Fresno,3
21,Honolulu,3
22,Bakersfield,3
23,New Orleans,4
24,Boston,4
25,St Louis,4
26,Columbus,5
27,Salt Lake City,5
28,Pittsburgh,6
29,Austin,6
30,Cincinnati,6
31,London,6
32,Denver,6
33,Tulsa,6
34,Halifax,6
35,San Jose,6
36,Phoenix,7
37,Tucson,7
38,Washington DC,7
39,Fort Worth,7
40,Miami,7
41,Los Angeles,7
42,Memphis,7
43,Milwaukee,7
44,Nashville,8
45,San Antonio,8
46,Calgary,9
47,Vancouver,9
48,Indianapolis,9
49,Seattle,9
50,Philadelphia,9
51,Ottawa,9
52,Raleigh,9
53,Minneapolis,10
54,Atlanta,10
55,Quebec,10
56,New York,10
57,Detroit,10
58,Chicago,10
59,Montreal,11
60,Toronto,11
61,San Francisco,11
