,city,cluster
0,Bakersfield,0
1,Honolulu,0
2,New Orleans,1
3,Toronto,1
4,San Francisco,1
5,Detroit,1
6,Minneapolis,1
7,Montreal,1
8,Vancouver,1
9,St Louis,1
10,Chicago,1
11,Boston,1
12,Quebec,1
13,Atlanta,1
14,New York,1
15,Oakland,2
16,Ottawa,2
17,Portland,2
18,San Jose,2
19,Louisville,2
20,Seattle,2
21,Winnipeg,2
22,Jacksonville,2
23,Sacramento,2
24,Tulsa,2
25,Edmonton,2
26,Charlotte,2
27,Cleveland,2
28,Austin,3
29,Pittsburgh,3
30,Philadelphia,3
31,Calgary,3
32,San Antonio,3
33,Cincinnati,3
34,Raleigh,3
35,Columbus,3
36,Denver,3
37,Halifax,3
38,London,3
39,Houston,3
40,Indianapolis,3
41,Nashville,3
42,San Diego,4
43,Tucson,4
44,Salt Lake City,4
45,Washington DC,4
46,Tampa,4
47,Albuquerque,4
48,Omaha,4
49,Milwaukee,4
50,Wichita,4
51,Memphis,4
52,Los Angeles,4
53,Las Vegas,4
54,Fort Worth,4
55,El Paso,4
56,Colorado Springs,4
57,Baltimore,4
58,Phoenix,4
59,Miami,4
60,Kansas City,5
61,Fresno,5
