,city,cluster
0,San Francisco,0
1,Montreal,0
2,Minneapolis,0
3,Ottawa,0
4,Toronto,0
5,Quebec,0
6,Detroit,0
7,Vancouver,0
8,Cleveland,0
9,Portland,0
10,Chicago,0
11,Bakersfield,1
12,San Antonio,2
13,Austin,2
14,San Jose,2
15,Memphis,2
16,Los Angeles,2
17,London,2
18,Jacksonville,2
19,Cincinnati,2
20,Houston,2
21,Phoenix,2
22,Pittsburgh,2
23,Nashville,2
24,Tulsa,2
25,Sacramento,2
26,Denver,2
27,Columbus,2
28,Washington DC,2
29,Fresno,3
30,San Diego,3
31,Salt Lake City,3
32,Philadelphia,4
33,Oakland,4
34,Raleigh,4
35,New York,4
36,Winnipeg,4
37,Seattle,4
38,St Louis,4
39,Louisville,4
40,Kansas City,4
41,Indianapolis,4
42,Halifax,4
43,Edmonton,4
44,Charlotte,4
45,Calgary,4
46,Boston,4
47,Atlanta,4
48,New Orleans,4
49,Tucson,5
50,Tampa,5
51,Albuquerque,5
52,Milwaukee,5
53,Wichita,5
54,Las Vegas,5
55,Honolulu,5
56,Fort Worth,5
57,El Paso,5
58,Colorado Springs,5
59,Baltimore,5
60,Omaha,5
61,Miami,5
