"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"1","Dallas","relative","Southwest","large","Dallas, TX","Season_8",2.14103503301238,1
"2","Dallas","relative","Southwest","large","Dallas, TX","Season_7",2.13928571428571,1
"3","Dallas","relative","Southwest","large","Dallas, TX","Season_9",1.9608872402933,1
"4","Dallas","downtown","Southwest","large","Dallas, TX","Season_9",1.91576025390161,2
"5","Dallas","relative","Southwest","large","Dallas, TX","Season_6",1.91076923076923,1
"6","Orlando","downtown","Southeast","medium","Orlando, FL","Season_8",1.83473376030098,2
"7","Orlando","relative","Southeast","medium","Orlando, FL","Season_8",1.79155911622359,3
"8","Dallas","downtown","Southwest","large","Dallas, TX","Season_7",1.79153846153846,2
"9","Orlando","relative","Southeast","medium","Orlando, FL","Season_2",1.76923076923077,1
"10","Dallas","downtown","Southwest","large","Dallas, TX","Season_8",1.76608732215938,4
"11","Dallas","downtown","Southwest","large","Dallas, TX","Season_6",1.75,2
"12","Oklahoma City","relative","Southwest","medium","Oklahoma City, OK","Season_9",1.70810104655397,3
"13","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_12",1.67151368116563,1
"14","Dallas","downtown","Southwest","large","Dallas, TX","Season_11",1.65476774058929,1
"15","Orlando","relative","Southeast","medium","Orlando, FL","Season_1",1.61125,1
"16","Dallas","downtown","Southwest","large","Dallas, TX","Season_12",1.5530752540017,2
"17","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_9",1.55052939044592,4
"18","Dallas","downtown","Southwest","large","Dallas, TX","Season_13",1.55027114315389,1
"19","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_9",1.54855565029747,5
"20","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_13",1.54682260166803,2
"21","Salt Lake City","relative","Southwest","medium","Salt Lake City, UT","Season_9",1.53908397044166,6
"22","Orlando","downtown","Southeast","medium","Orlando, FL","Season_12",1.51659600670633,3
"23","Oklahoma City","relative","Southwest","medium","Oklahoma City, OK","Season_8",1.498947733399,5
"24","Orlando","downtown","Southeast","medium","Orlando, FL","Season_13",1.49444051139922,3
"25","Dallas","downtown","Southwest","large","Dallas, TX","Season_10",1.44055162631679,1
"26","Oklahoma City","relative","Southwest","medium","Oklahoma City, OK","Season_4",1.42153846153846,1
"27","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_13",1.39086661476104,4
"28","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_12",1.3865574888239,4
"29","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_9",1.38592868535585,7
"30","Salt Lake City","relative","Southwest","medium","Salt Lake City, UT","Season_8",1.33264610925217,6
"31","Fresno","city","Pacific","medium","Fresno, CA","Season_9",1.32221026655747,8
"32","Mississauga","city","Canada","medium","Mississauga, ON","Season_7",1.31916666666667,3
"33","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_8",1.31734878537616,7
"34","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_4",1.31615384615385,2
"35","Orlando","downtown","Southeast","medium","Orlando, FL","Season_2",1.31583333333333,2
"36","Orlando","downtown","Southeast","medium","Orlando, FL","Season_10",1.30888631977126,2
"37","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_8",1.30851666970228,8
"38","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_6",1.30125,3
"39","Fresno","city","Pacific","medium","Fresno, CA","Season_8",1.29899008054492,9
"40","Columbus","relative","Midwest","large","Columbus, OH","Season_9",1.28853968263182,9
"41","Dallas","relative","Southwest","large","Dallas, TX","Season_5",1.2875,1
"42","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_13",1.27719140236822,5
"43","Fresno","city","Pacific","medium","Fresno, CA","Season_6",1.27375,4
"44","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_11",1.27288410545445,2
"45","Fresno","city","Pacific","medium","Fresno, CA","Season_7",1.26909090909091,4
"46","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_7",1.26777777777778,5
"47","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_11",1.26121654796006,3
"48","Kansas City","relative","Midwest","medium","Kansas City, MO","Season_1",1.26115384615385,2
"49","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_5",1.25666666666667,2
"50","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_10",1.24956645506711,3
"51","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_11",1.24438156583119,4
"52","Fresno","city","Pacific","medium","Fresno, CA","Season_5",1.24,3
"53","Mississauga","city","Canada","medium","Mississauga, ON","Season_9",1.23427231449296,10
"54","Fresno","downtown","Pacific","medium","Fresno, CA","Season_11",1.22851977387213,5
"55","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_8",1.22489191425888,10
"56","Columbus","relative","Midwest","large","Columbus, OH","Season_8",1.22170372447176,11
"57","Mississauga","city","Canada","medium","Mississauga, ON","Season_6",1.217,5
"58","El Paso","city","Southwest","medium","El Paso, TX","Season_9",1.20144689911818,11
"59","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_7",1.19833333333333,6
"60","Salt Lake City","relative","Southwest","medium","Salt Lake City, UT","Season_7",1.19692307692308,7
"61","Oklahoma City","relative","Southwest","medium","Oklahoma City, OK","Season_7",1.19307692307692,8
"62","Mississauga","city","Canada","medium","Mississauga, ON","Season_3",1.19272727272727,1
"63","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_10",1.18516244979345,4
"64","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_12",1.18254388464658,5
"65","Oklahoma City","relative","Southwest","medium","Oklahoma City, OK","Season_6",1.17461538461538,6
"66","London","city","Canada","medium","London, ON","Season_7",1.17363636363636,9
"67","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_9",1.17335015176475,12
"68","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_4",1.17090909090909,3
"69","Orlando","downtown","Southeast","medium","Orlando, FL","Season_1",1.16333333333333,3
"70","Fresno","downtown","Pacific","medium","Fresno, CA","Season_13",1.15931375617297,6
"71","Fresno","downtown","Pacific","medium","Fresno, CA","Season_12",1.15287474836085,6
"72","Fresno","downtown","Pacific","medium","Fresno, CA","Season_10",1.14860671595253,5
"73","Dallas","downtown","Southwest","large","Dallas, TX","Season_5",1.1475,4
"74","Jacksonville","city","Southeast","large","Jacksonville, FL","Season_5",1.14125,5
"75","Miami","relative","Southeast","medium","Miami, FL","Season_3",1.13916666666667,2
"76","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_6",1.137,7
"77","Fresno","city","Pacific","medium","Fresno, CA","Season_4",1.136,4
"78","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_2",1.12625,3
"79","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_10",1.12387762690079,6
"80","El Paso","downtown","Southwest","medium","El Paso, TX","Season_11",1.12240905449216,6
"81","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_6",1.12153846153846,8
"82","Columbus","downtown","Midwest","large","Columbus, OH","Season_9",1.12153278462065,13
"83","Bakersfield","city","Pacific","medium","Bakersfield, CA","Season_3",1.11375,3
