"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"1","Dallas","downtown","Southwest","large","Dallas, TX","Season_9",1.91576025390161,1
"2","Orlando","downtown","Southeast","medium","Orlando, FL","Season_8",1.83473376030098,1
"3","Dallas","downtown","Southwest","large","Dallas, TX","Season_7",1.79153846153846,1
"4","Dallas","downtown","Southwest","large","Dallas, TX","Season_8",1.76608732215938,2
"5","Dallas","downtown","Southwest","large","Dallas, TX","Season_6",1.75,1
"6","Dallas","downtown","Southwest","large","Dallas, TX","Season_11",1.74715809643678,1
"7","Dallas","downtown","Southwest","large","Dallas, TX","Season_10",1.65782865064385,1
"8","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_9",1.55052939044592,2
"9","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_9",1.54855565029747,3
"10","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_10",1.40118736300679,2
"11","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_11",1.38396012769395,2
"12","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_11",1.34518742545159,3
"13","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_4",1.31615384615385,1
"14","Orlando","downtown","Southeast","medium","Orlando, FL","Season_2",1.31583333333333,1
"15","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_8",1.30851666970228,3
"16","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_11",1.25339675604912,4
"17","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_8",1.22489191425888,4
"18","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_10",1.21917508745421,3
"19","Orlando","downtown","Southeast","medium","Orlando, FL","Season_10",1.21611075027859,4
"20","Fresno","downtown","Pacific","medium","Fresno, CA","Season_11",1.21159752623657,5
"21","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_7",1.19833333333333,2
"22","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_10",1.19169045754152,5
"23","Fresno","downtown","Pacific","medium","Fresno, CA","Season_10",1.18765734206057,6
"24","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_9",1.17335015176475,4
"25","El Paso","downtown","Southwest","medium","El Paso, TX","Season_11",1.16787727665261,6
"26","Orlando","downtown","Southeast","medium","Orlando, FL","Season_1",1.16333333333333,1
"27","Dallas","downtown","Southwest","large","Dallas, TX","Season_5",1.1475,1
"28","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_6",1.137,2
"29","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_6",1.12153846153846,3
"30","Columbus","downtown","Midwest","large","Columbus, OH","Season_9",1.12153278462065,5
"31","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_7",1.09166666666667,3
"32","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_7",1.09076923076923,4
"33","Fresno","downtown","Pacific","medium","Fresno, CA","Season_9",1.07993389719628,6
"34","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_5",1.077,2
"35","Albuquerque","downtown","Southwest","medium","Albuquerque, NM","Season_8",1.07389219902438,5
"36","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_8",1.06546946191967,6
"37","Columbus","downtown","Midwest","large","Columbus, OH","Season_8",1.04629600598957,7
"38","Fresno","downtown","Pacific","medium","Fresno, CA","Season_8",1.03386943306583,8
"39","Fresno","downtown","Pacific","medium","Fresno, CA","Season_7",1.02153846153846,5
"40","Mississauga","downtown","Canada","medium","Mississauga, ON","Season_3",1.018,1
"41","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_3",1.01409090909091,2
