"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"1","Albuquerque",0.742251767710002,2022-01-10,"downtown","Southwest","medium","Albuquerque, NM"
"2","Albuquerque",1.03037967104251,2023-01-09,"downtown","Southwest","medium","Albuquerque, NM"
"3","Atlanta",0.521686607922316,2022-01-10,"downtown","Southeast","medium","Atlanta, GA"
"4","Atlanta",0.401097320639562,2023-01-09,"downtown","Southeast","medium","Atlanta, GA"
"5","Austin",0.464615884764572,2022-01-10,"downtown","Southwest","large","Austin, TX"
"6","Austin",0.539862723095657,2023-01-09,"downtown","Southwest","large","Austin, TX"
"7","Bakersfield",1.24660887478728,2022-01-10,"downtown","Pacific","medium","Bakersfield, CA"
"8","Bakersfield",1.32056020507881,2023-01-09,"downtown","Pacific","medium","Bakersfield, CA"
"9","Baltimore",0.813972022981157,2022-01-10,"downtown","Northeast","medium","Baltimore, MD"
"10","Baltimore",0.866800674342625,2023-01-09,"downtown","Northeast","medium","Baltimore, MD"
"11","Boston",0.366981811951885,2022-01-10,"downtown","Northeast","medium","Boston, MA"
"12","Boston",0.522788482037833,2023-01-09,"downtown","Northeast","medium","Boston, MA"
"13","Calgary",0.354081385255225,2022-01-10,"downtown","Canada","large","Calgary, AB"
"14","Calgary",0.504727336311156,2023-01-09,"downtown","Canada","large","Calgary, AB"
"15","Charlotte",0.535533317714257,2022-01-10,"downtown","Southeast","large","Charlotte, NC"
"16","Charlotte",0.545202144796372,2023-01-09,"downtown","Southeast","large","Charlotte, NC"
"17","Chicago",0.461492171682245,2022-01-10,"downtown","Midwest","large","Chicago, IL"
"18","Chicago",0.589091961305608,2023-01-09,"downtown","Midwest","large","Chicago, IL"
"19","Cincinnati",0.739845825377055,2022-01-10,"downtown","Midwest","medium","Cincinnati, OH"
"20","Cincinnati",0.776391164026712,2023-01-09,"downtown","Midwest","medium","Cincinnati, OH"
"21","Cleveland",0.543069234715346,2022-01-10,"downtown","Midwest","medium","Cleveland, OH"
"22","Cleveland",0.504815975426862,2023-01-09,"downtown","Midwest","medium","Cleveland, OH"
"23","Colorado Springs",0.605254143490315,2022-01-10,"downtown","Southwest","medium","Colorado Springs, CO"
"24","Colorado Springs",0.691473539379689,2023-01-09,"downtown","Southwest","medium","Colorado Springs, CO"
"25","Columbus",1.07334377677678,2022-01-10,"downtown","Midwest","large","Columbus, OH"
"26","Columbus",1.22469868641358,2023-01-09,"downtown","Midwest","large","Columbus, OH"
"27","Dallas",1.70770766740168,2022-01-10,"downtown","Southwest","large","Dallas, TX"
"28","Dallas",1.55627981212874,2023-01-09,"downtown","Southwest","large","Dallas, TX"
"29","Denver",0.535185612751162,2022-01-10,"downtown","Southwest","large","Denver, CO"
"30","Denver",0.652955451756429,2023-01-09,"downtown","Southwest","large","Denver, CO"
"31","Detroit",0.326799901953834,2022-01-10,"downtown","Midwest","medium","Detroit, MI"
"32","Detroit",0.51603643039173,2023-01-09,"downtown","Midwest","medium","Detroit, MI"
"33","Edmonton",0.413920387275523,2022-01-10,"downtown","Canada","large","Edmonton, AB"
"34","Edmonton",0.588692964567052,2023-01-09,"downtown","Canada","large","Edmonton, AB"
"35","El Paso",0.78355660062594,2022-01-10,"downtown","Southwest","medium","El Paso, TX"
"36","El Paso",0.96321023610549,2023-01-09,"downtown","Southwest","medium","El Paso, TX"
"37","Fort Worth",1.36244495917986,2022-01-10,"downtown","Southwest","large","Fort Worth, TX"
"38","Fort Worth",0.768075794875668,2023-01-09,"downtown","Southwest","large","Fort Worth, TX"
"39","Fresno",1.66842810282902,2022-01-10,"downtown","Pacific","medium","Fresno, CA"
"40","Fresno",1.28362456720839,2023-01-09,"downtown","Pacific","medium","Fresno, CA"
"41","Halifax",0.482457941326502,2022-01-10,"downtown","Canada","medium","Halifax, NS"
"42","Halifax",0.713235505337344,2023-01-09,"downtown","Canada","medium","Halifax, NS"
"43","Honolulu",0.870999485949482,2022-01-10,"downtown","Pacific","medium","Honolulu, HI"
"44","Honolulu",0.853070373963121,2023-01-09,"downtown","Pacific","medium","Honolulu, HI"
"45","Houston",0.54342494469225,2022-01-10,"downtown","Southwest","large","Houston, TX"
"46","Houston",0.617116186632729,2023-01-09,"downtown","Southwest","large","Houston, TX"
"47","Indianapolis",0.730545810562347,2022-01-10,"downtown","Midwest","large","Indianapolis, IN"
"48","Indianapolis",0.466841115142457,2023-01-09,"downtown","Midwest","large","Indianapolis, IN"
"49","Jacksonville",0.67803535635756,2022-01-10,"downtown","Southeast","large","Jacksonville, FL"
"50","Jacksonville",0.775662232247624,2023-01-09,"downtown","Southeast","large","Jacksonville, FL"
"51","Kansas City",0.641336973258074,2022-01-10,"downtown","Midwest","medium","Kansas City, MO"
"52","Kansas City",0.553132107956393,2023-01-09,"downtown","Midwest","medium","Kansas City, MO"
"53","Las Vegas",0.953739155645941,2022-01-10,"downtown","Southwest","medium","Las Vegas, NV"
"54","Las Vegas",0.885798056060329,2023-01-09,"downtown","Southwest","medium","Las Vegas, NV"
"55","London",0.419941877730191,2022-01-10,"downtown","Canada","medium","London, ON"
"56","London",0.610166552994051,2023-01-09,"downtown","Canada","medium","London, ON"
"57","Los Angeles",0.580332082091018,2022-01-10,"downtown","Pacific","large","Los Angeles, CA"
"58","Los Angeles",0.503544639988206,2023-01-09,"downtown","Pacific","large","Los Angeles, CA"
"59","Louisville",0.569103319828308,2022-01-10,"downtown","Midwest","medium","Louisville, KY"
"60","Louisville",0.534997265112995,2023-01-09,"downtown","Midwest","medium","Louisville, KY"
"61","Memphis",0.733184726838178,2022-01-10,"downtown","Southeast","medium","Memphis, TN"
"62","Memphis",0.686036833912557,2023-01-09,"downtown","Southeast","medium","Memphis, TN"
"63","Miami",0.813954008056607,2022-01-10,"downtown","Southeast","medium","Miami, FL"
"64","Miami",0.589253918894859,2023-01-09,"downtown","Southeast","medium","Miami, FL"
"65","Milwaukee",0.740878996957062,2022-01-10,"downtown","Midwest","medium","Milwaukee, WI"
"66","Milwaukee",0.745235078158793,2023-01-09,"downtown","Midwest","medium","Milwaukee, WI"
"67","Minneapolis",0.289435357517213,2022-01-10,"downtown","Midwest","medium","Minneapolis, MN"
"68","Minneapolis",0.515460981352252,2023-01-09,"downtown","Midwest","medium","Minneapolis, MN"
"69","Mississauga",0.73761392326951,2022-01-10,"downtown","Canada","medium","Mississauga, ON"
"70","Mississauga",0.818866342494254,2023-01-09,"downtown","Canada","medium","Mississauga, ON"
"71","Montreal",0.224527157498843,2022-01-10,"downtown","Canada","large","Montreal, QC"
"72","Montreal",0.485955006133169,2023-01-09,"downtown","Canada","large","Montreal, QC"
"73","Nashville",0.681080016038648,2022-01-10,"downtown","Southeast","large","Nashville, TN"
"74","Nashville",0.773316048148369,2023-01-09,"downtown","Southeast","large","Nashville, TN"
"75","New Orleans",0.452215001081452,2022-01-10,"downtown","Southeast","medium","New Orleans, LA"
"76","New Orleans",0.44236769107492,2023-01-09,"downtown","Southeast","medium","New Orleans, LA"
"77","New York",0.443886367634493,2022-01-10,"downtown","Northeast","large","New York, NY"
"78","New York",0.793784089650515,2023-01-09,"downtown","Northeast","large","New York, NY"
"79","Oakland",0.481112415761144,2022-01-10,"downtown","Pacific","medium","Oakland, CA"
"80","Oakland",0.476517163661904,2023-01-09,"downtown","Pacific","medium","Oakland, CA"
"81","Oklahoma City",1.8651196142231,2022-01-10,"downtown","Southwest","medium","Oklahoma City, OK"
"82","Oklahoma City",2.01245645068187,2023-01-09,"downtown","Southwest","medium","Oklahoma City, OK"
"83","Omaha",0.599865448985722,2022-01-10,"downtown","Midwest","medium","Omaha, NE"
"84","Omaha",0.800236170078836,2023-01-09,"downtown","Midwest","medium","Omaha, NE"
"85","Orlando",2.31079170127574,2022-01-10,"downtown","Southeast","medium","Orlando, FL"
"86","Orlando",1.38093739174332,2023-01-09,"downtown","Southeast","medium","Orlando, FL"
"87","Ottawa",0.359069890923225,2022-01-10,"downtown","Canada","large","Ottawa, ON"
"88","Ottawa",0.575433755807003,2023-01-09,"downtown","Canada","large","Ottawa, ON"
"89","Philadelphia",0.394051317299121,2022-01-10,"downtown","Northeast","large","Philadelphia, PA"
"90","Philadelphia",0.504697132519506,2023-01-09,"downtown","Northeast","large","Philadelphia, PA"
"91","Phoenix",0.580962697805021,2022-01-10,"downtown","Southwest","large","Phoenix, AZ"
"92","Phoenix",0.658641016201379,2023-01-09,"downtown","Southwest","large","Phoenix, AZ"
"93","Pittsburgh",0.516742299921792,2022-01-10,"downtown","Northeast","medium","Pittsburgh, PA"
"94","Pittsburgh",0.727124271361253,2023-01-09,"downtown","Northeast","medium","Pittsburgh, PA"
"95","Portland",0.32558335362248,2022-01-10,"downtown","Pacific","medium","Portland, OR"
"96","Portland",0.412420367875812,2023-01-09,"downtown","Pacific","medium","Portland, OR"
"97","Quebec",0.374767385979243,2022-01-10,"downtown","Canada","medium","Quebec, QC"
"98","Quebec",0.618837866316788,2023-01-09,"downtown","Canada","medium","Quebec, QC"
"99","Raleigh",0.506672345171886,2022-01-10,"downtown","Southeast","medium","Raleigh, NC"
"100","Raleigh",0.514494537961917,2023-01-09,"downtown","Southeast","medium","Raleigh, NC"
