"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"1","Albuquerque",0.831742023184465,2022-06-13,"downtown","Southwest","medium","Albuquerque, NM"
"2","Atlanta",0.430470475178858,2022-06-13,"downtown","Southeast","medium","Atlanta, GA"
"3","Austin",0.498335811252985,2022-06-13,"downtown","Southwest","large","Austin, TX"
"4","Bakersfield",1.22796107421741,2022-06-13,"downtown","Pacific","medium","Bakersfield, CA"
"5","Baltimore",0.749398534585157,2022-06-13,"downtown","Northeast","medium","Baltimore, MD"
"6","Boston",0.545420178606197,2022-06-13,"downtown","Northeast","medium","Boston, MA"
"7","Calgary",0.396734982319086,2022-06-13,"downtown","Canada","large","Calgary, AB"
"8","Charlotte",0.482112421216311,2022-06-13,"downtown","Southeast","large","Charlotte, NC"
"9","Chicago",0.45316823383968,2022-06-13,"downtown","Midwest","large","Chicago, IL"
"10","Cincinnati",0.449015682265012,2022-06-13,"downtown","Midwest","medium","Cincinnati, OH"
"11","Cleveland",0.315642382251321,2022-06-13,"downtown","Midwest","medium","Cleveland, OH"
"12","Colorado Springs",0.789422549351191,2022-06-13,"downtown","Southwest","medium","Colorado Springs, CO"
"13","Columbus",0.769929154399194,2022-06-13,"downtown","Midwest","large","Columbus, OH"
"14","Dallas",2.02389615448932,2022-06-13,"downtown","Southwest","large","Dallas, TX"
"15","Denver",0.552287139072293,2022-06-13,"downtown","Southwest","large","Denver, CO"
"16","Detroit",0.527715339322088,2022-06-13,"downtown","Midwest","medium","Detroit, MI"
"17","Edmonton",0.444860735843343,2022-06-13,"downtown","Canada","large","Edmonton, AB"
"18","El Paso",0.964988949395749,2022-06-13,"downtown","Southwest","medium","El Paso, TX"
"19","Fort Worth",0.671648153552517,2022-06-13,"downtown","Southwest","large","Fort Worth, TX"
"20","Fresno",1.26055119294634,2022-06-13,"downtown","Pacific","medium","Fresno, CA"
"21","Halifax",0.575808677013233,2022-06-13,"downtown","Canada","medium","Halifax, NS"
"22","Honolulu",0.864540430541597,2022-06-13,"downtown","Pacific","medium","Honolulu, HI"
"23","Houston",0.553076193838129,2022-06-13,"downtown","Southwest","large","Houston, TX"
"24","Indianapolis",0.339860096301748,2022-06-13,"downtown","Midwest","large","Indianapolis, IN"
"25","Jacksonville",0.693487552999009,2022-06-13,"downtown","Southeast","large","Jacksonville, FL"
"26","Kansas City",0.49363662545157,2022-06-13,"downtown","Midwest","medium","Kansas City, MO"
"27","Las Vegas",0.811353725593795,2022-06-13,"downtown","Southwest","medium","Las Vegas, NV"
"28","London",0.456967936223746,2022-06-13,"downtown","Canada","medium","London, ON"
"29","Los Angeles",0.659317316940727,2022-06-13,"downtown","Pacific","large","Los Angeles, CA"
"30","Louisville",0.421023109505865,2022-06-13,"downtown","Midwest","medium","Louisville, KY"
"31","Memphis",0.66410466130341,2022-06-13,"downtown","Southeast","medium","Memphis, TN"
"32","Miami",0.692030265018888,2022-06-13,"downtown","Southeast","medium","Miami, FL"
"33","Milwaukee",0.644811329263987,2022-06-13,"downtown","Midwest","medium","Milwaukee, WI"
"34","Minneapolis",0.403948432917819,2022-06-13,"downtown","Midwest","medium","Minneapolis, MN"
"35","Mississauga",0.738648921666192,2022-06-13,"downtown","Canada","medium","Mississauga, ON"
"36","Montreal",0.458165270923143,2022-06-13,"downtown","Canada","large","Montreal, QC"
"37","Nashville",0.583529507378117,2022-06-13,"downtown","Southeast","large","Nashville, TN"
"38","New Orleans",0.498966960564749,2022-06-13,"downtown","Southeast","medium","New Orleans, LA"
"39","New York",0.682571725413189,2022-06-13,"downtown","Northeast","large","New York, NY"
"40","Oakland",0.489518408021643,2022-06-13,"downtown","Pacific","medium","Oakland, CA"
"41","Oklahoma City",1.17064706137148,2022-06-13,"downtown","Southwest","medium","Oklahoma City, OK"
"42","Omaha",0.674312435063886,2022-06-13,"downtown","Midwest","medium","Omaha, NE"
"43","Orlando",1.24096704327255,2022-06-13,"downtown","Southeast","medium","Orlando, FL"
"44","Ottawa",0.372854426414575,2022-06-13,"downtown","Canada","large","Ottawa, ON"
"45","Philadelphia",0.442899547620287,2022-06-13,"downtown","Northeast","large","Philadelphia, PA"
"46","Phoenix",0.74005519827438,2022-06-13,"downtown","Southwest","large","Phoenix, AZ"
"47","Pittsburgh",0.38514549518111,2022-06-13,"downtown","Northeast","medium","Pittsburgh, PA"
"48","Portland",0.468080893723863,2022-06-13,"downtown","Pacific","medium","Portland, OR"
"49","Quebec",0.535879791890744,2022-06-13,"downtown","Canada","medium","Quebec, QC"
"50","Raleigh",0.554359218066342,2022-06-13,"downtown","Southeast","medium","Raleigh, NC"
"51","Sacramento",0.707236704839133,2022-06-13,"downtown","Pacific","medium","Sacramento, CA"
"52","Salt Lake City",1.53922090526033,2022-06-13,"downtown","Southwest","medium","Salt Lake City, UT"
"53","San Antonio",0.618862089699013,2022-06-13,"downtown","Southwest","large","San Antonio, TX"
"54","San Diego",0.843212747140252,2022-06-13,"downtown","Pacific","large","San Diego, CA"
"55","San Francisco",0.352494740423073,2022-06-13,"downtown","Pacific","large","San Francisco, CA"
"56","San Jose",0.632977414167629,2022-06-13,"downtown","Pacific","large","San Jose, CA"
"57","Seattle",0.457286868656529,2022-06-13,"downtown","Pacific","large","Seattle, WA"
"58","St Louis",0.341933985661882,2022-06-13,"downtown","Midwest","medium","St. Louis, MO"
"59","Tampa",0.858431972663729,2022-06-13,"downtown","Southeast","medium","Tampa, FL"
"60","Toronto",0.414602609689648,2022-06-13,"downtown","Canada","large","Toronto, ON"
"61","Tucson",0.791271146024132,2022-06-13,"downtown","Southwest","medium","Tucson, AZ"
"62","Tulsa",0.635731166914575,2022-06-13,"downtown","Southwest","medium","Tulsa, OK"
"63","Vancouver",0.401900107494447,2022-06-13,"downtown","Canada","medium","Vancouver, BC"
"64","Washington DC",0.669362979147589,2022-06-13,"downtown","Northeast","large","Washington DC"
"65","Wichita",0.801958038732993,2022-06-13,"downtown","Midwest","medium","Wichita, KS"
"66","Winnipeg",0.444242097781952,2022-06-13,"downtown","Canada","large","Winnipeg, MB"
"67","Albuquerque",0.773847149950517,2022-06-20,"downtown","Southwest","medium","Albuquerque, NM"
"68","Atlanta",0.508225567843534,2022-06-20,"downtown","Southeast","medium","Atlanta, GA"
"69","Austin",0.519674081017441,2022-06-20,"downtown","Southwest","large","Austin, TX"
"70","Bakersfield",1.10449523488689,2022-06-20,"downtown","Pacific","medium","Bakersfield, CA"
"71","Baltimore",0.816782383547294,2022-06-20,"downtown","Northeast","medium","Baltimore, MD"
"72","Boston",0.506309927137429,2022-06-20,"downtown","Northeast","medium","Boston, MA"
"73","Calgary",0.406203244966992,2022-06-20,"downtown","Canada","large","Calgary, AB"
"74","Charlotte",0.486416137609673,2022-06-20,"downtown","Southeast","large","Charlotte, NC"
"75","Chicago",0.451316329832201,2022-06-20,"downtown","Midwest","large","Chicago, IL"
"76","Cincinnati",0.507559046382718,2022-06-20,"downtown","Midwest","medium","Cincinnati, OH"
"77","Cleveland",0.265107154431514,2022-06-20,"downtown","Midwest","medium","Cleveland, OH"
"78","Colorado Springs",0.756169015301249,2022-06-20,"downtown","Southwest","medium","Colorado Springs, CO"
"79","Columbus",0.677954425506949,2022-06-20,"downtown","Midwest","large","Columbus, OH"
"80","Dallas",1.52856060921546,2022-06-20,"downtown","Southwest","large","Dallas, TX"
"81","Denver",0.682515709114031,2022-06-20,"downtown","Southwest","large","Denver, CO"
"82","Detroit",0.344478801162464,2022-06-20,"downtown","Midwest","medium","Detroit, MI"
"83","Edmonton",0.481214583104397,2022-06-20,"downtown","Canada","large","Edmonton, AB"
"84","El Paso",0.924577381964097,2022-06-20,"downtown","Southwest","medium","El Paso, TX"
"85","Fort Worth",0.651248005421743,2022-06-20,"downtown","Southwest","large","Fort Worth, TX"
"86","Fresno",1.10021950221553,2022-06-20,"downtown","Pacific","medium","Fresno, CA"
"87","Halifax",0.547156236757824,2022-06-20,"downtown","Canada","medium","Halifax, NS"
"88","Honolulu",0.766238894920637,2022-06-20,"downtown","Pacific","medium","Honolulu, HI"
"89","Houston",0.559028604684976,2022-06-20,"downtown","Southwest","large","Houston, TX"
"90","Indianapolis",0.488057340256877,2022-06-20,"downtown","Midwest","large","Indianapolis, IN"
"91","Jacksonville",0.754039382343528,2022-06-20,"downtown","Southeast","large","Jacksonville, FL"
"92","Kansas City",0.511898497029303,2022-06-20,"downtown","Midwest","medium","Kansas City, MO"
"93","Las Vegas",0.773288675505329,2022-06-20,"downtown","Southwest","medium","Las Vegas, NV"
"94","London",0.462948793297767,2022-06-20,"downtown","Canada","medium","London, ON"
"95","Los Angeles",0.61392404261903,2022-06-20,"downtown","Pacific","large","Los Angeles, CA"
"96","Louisville",0.3775606417583,2022-06-20,"downtown","Midwest","medium","Louisville, KY"
"97","Memphis",0.654876440957066,2022-06-20,"downtown","Southeast","medium","Memphis, TN"
"98","Miami",0.67177237750401,2022-06-20,"downtown","Southeast","medium","Miami, FL"
"99","Milwaukee",1.00712216643466,2022-06-20,"downtown","Midwest","medium","Milwaukee, WI"
"100","Minneapolis",0.372739807690075,2022-06-20,"downtown","Midwest","medium","Minneapolis, MN"
"101","Mississauga",0.77745052361221,2022-06-20,"downtown","Canada","medium","Mississauga, ON"
"102","Montreal",0.376217914533399,2022-06-20,"downtown","Canada","large","Montreal, QC"
"103","Nashville",0.559108145276009,2022-06-20,"downtown","Southeast","large","Nashville, TN"
"104","New Orleans",0.454417912747945,2022-06-20,"downtown","Southeast","medium","New Orleans, LA"
"105","New York",0.650830636310914,2022-06-20,"downtown","Northeast","large","New York, NY"
"106","Oakland",0.45257183269601,2022-06-20,"downtown","Pacific","medium","Oakland, CA"
"107","Oklahoma City",1.24490476576108,2022-06-20,"downtown","Southwest","medium","Oklahoma City, OK"
"108","Omaha",0.698022479171743,2022-06-20,"downtown","Midwest","medium","Omaha, NE"
"109","Orlando",0.904329770830927,2022-06-20,"downtown","Southeast","medium","Orlando, FL"
"110","Ottawa",0.359969124128678,2022-06-20,"downtown","Canada","large","Ottawa, ON"
"111","Philadelphia",0.408723833484057,2022-06-20,"downtown","Northeast","large","Philadelphia, PA"
"112","Phoenix",0.889950376550228,2022-06-20,"downtown","Southwest","large","Phoenix, AZ"
"113","Pittsburgh",0.333415884161817,2022-06-20,"downtown","Northeast","medium","Pittsburgh, PA"
"114","Portland",0.27846863128797,2022-06-20,"downtown","Pacific","medium","Portland, OR"
"115","Quebec",0.495721891541894,2022-06-20,"downtown","Canada","medium","Quebec, QC"
"116","Raleigh",0.511793435311552,2022-06-20,"downtown","Southeast","medium","Raleigh, NC"
"117","Sacramento",0.690272457561525,2022-06-20,"downtown","Pacific","medium","Sacramento, CA"
"118","Salt Lake City",1.35483767602409,2022-06-20,"downtown","Southwest","medium","Salt Lake City, UT"
"119","San Antonio",0.602675665005851,2022-06-20,"downtown","Southwest","large","San Antonio, TX"
"120","San Diego",1.00007108856865,2022-06-20,"downtown","Pacific","large","San Diego, CA"
"121","San Francisco",0.398447670911666,2022-06-20,"downtown","Pacific","large","San Francisco, CA"
"122","San Jose",0.62282594546288,2022-06-20,"downtown","Pacific","large","San Jose, CA"
"123","Seattle",0.472745851351887,2022-06-20,"downtown","Pacific","large","Seattle, WA"
"124","St Louis",0.473975878374991,2022-06-20,"downtown","Midwest","medium","St. Louis, MO"
"125","Tampa",0.947036507203984,2022-06-20,"downtown","Southeast","medium","Tampa, FL"
"126","Toronto",0.35465238826303,2022-06-20,"downtown","Canada","large","Toronto, ON"
"127","Tucson",0.755737951846654,2022-06-20,"downtown","Southwest","medium","Tucson, AZ"
"128","Tulsa",0.467958289764601,2022-06-20,"downtown","Southwest","medium","Tulsa, OK"
"129","Vancouver",0.395428830881092,2022-06-20,"downtown","Canada","medium","Vancouver, BC"
"130","Washington DC",0.640391220781041,2022-06-20,"downtown","Northeast","large","Washington DC"
"131","Wichita",0.868632354336785,2022-06-20,"downtown","Midwest","medium","Wichita, KS"
"132","Winnipeg",0.433888876073008,2022-06-20,"downtown","Canada","large","Winnipeg, MB"
"133","Albuquerque",0.780488615348453,2022-06-27,"downtown","Southwest","medium","Albuquerque, NM"
"134","Atlanta",0.482641902494593,2022-06-27,"downtown","Southeast","medium","Atlanta, GA"
"135","Austin",0.564583104822253,2022-06-27,"downtown","Southwest","large","Austin, TX"
"136","Bakersfield",1.19267227364523,2022-06-27,"downtown","Pacific","medium","Bakersfield, CA"
"137","Baltimore",0.721742224823578,2022-06-27,"downtown","Northeast","medium","Baltimore, MD"
"138","Boston",0.515394255501789,2022-06-27,"downtown","Northeast","medium","Boston, MA"
"139","Calgary",0.408429597920921,2022-06-27,"downtown","Canada","large","Calgary, AB"
"140","Charlotte",0.692045393655035,2022-06-27,"downtown","Southeast","large","Charlotte, NC"
"141","Chicago",0.50546915003434,2022-06-27,"downtown","Midwest","large","Chicago, IL"
